,latitud,longitud
358,-2.18684014657982,-79.8966845870018
359,-2.18682138479063,-79.8967543244362
360,-2.18673561660852,-79.895276427269
361,-2.18678118095588,-79.8968642950058
362,-2.18686426887985,-79.8947694897652
363,-2.18689643194596,-79.8946541547775
364,-2.18693663577764,-79.8945173621178
365,-2.18701436318247,-79.8944798111916
366,-2.18722610333384,-79.894557595253
367,-2.18678922172292,-79.8953595757485
368,-2.18641666613827,-79.8958986997605
369,-2.1868079835125,-79.8960515856743
370,-2.18689911220144,-79.8960837721825
371,-2.18695271731,-79.89636272192
372,-2.18691787398966,-79.8964646458626
373,-2.18687767015749,-79.8965719342232
374,-2.18674633763155,-79.8969769477844
375,-2.18700900267193,-79.8961508274079
376,-2.18647027126405,-79.8957565426826
377,-2.18671685481803,-79.8970627784729
378,-2.1867490178873,-79.8948821425438
379,-2.188099866174,-79.8948284983635
380,-2.18796853375506,-79.8947882652283
381,-2.18695807782075,-79.8960998654366
382,-2.18689643194596,-79.8945146799088
383,-2.18785864335487,-79.8947533965111
384,-2.18776215421637,-79.89472925663
385,-2.18747536701805,-79.8946300148964
386,-2.18665520893333,-79.8951745033264
387,-2.18655067894914,-79.8954883217812
388,-2.18657212099778,-79.8954051733017
389,-2.18672489558541,-79.8949491977692
390,-2.18708404981787,-79.895453453064
391,-2.18697951986356,-79.8954212665558
392,-2.18689107143499,-79.8953971266747
393,-2.18648936808965,-79.8980337381363
394,-2.18660729935815,-79.8977333307266
395,-2.18669842805928,-79.8974061012268
396,-2.18678955675488,-79.8971432447434
397,-2.18688068544493,-79.8967999219895
398,-2.18699861668267,-79.8964834213257
399,-2.18706294280845,-79.8963278532028
400,-2.18694501157577,-79.8966872692108
401,-2.18715407148191,-79.8960328102112
402,-2.18726128167888,-79.8957055807114
403,-2.18732024728396,-79.8954266309738
404,-2.18744889950516,-79.8950833082199
405,-2.18756683069824,-79.8947668075562
406,-2.18766331984931,-79.8944985866547
407,-2.18774908797839,-79.8941874504089
408,-2.18786165864035,-79.8938494920731
409,-2.18799567132217,-79.8934632539749
